,ID,Urgency,Area,Titel,Event,Datum,Plz
0,lhp.LHP.ST.ala20691e46742f2b7cb68cb54c0ec75297,Immediate,Flussgebiet Ohre,Warnung vor einem mittleren Hochwasser: für das Flussgebiet Ohre,Flood,2023-11-21 06:43:01,
1,lhp.LHP.BW.bw_31_0_2023-11-30T07-00-00-01-00,Immediate,Hochrhein: Aaremündung bis Basel,"Am Hochrhein von der Aare-Mündung bis Basel besteht gemäß Modellberechnung eine mäßige Hochwassergefährdung.: Mögliche Auswirkungen:<br/>- stellenweise kleinere Ausuferungen<br/>- erhöhte Strömung im Uferbereich<br/><br/>Informieren Sie sich weiter regelmäßig über die aktuelle Entwicklung der Niederschläge, Wasserstände und der Hochwasser-Lage: www.hvz.baden-wuerttemberg.de. Informationen zum richtigen Verhalten bei Hochwasser finden Sie unter www.hochwasser.baden-wuerttemberg.de/buergerinnen-und-buerger",Flood,2023-11-30 07:26:00,
2,lhp.LHP.NI.ni_NI_12580,Immediate,Aller von Brenneckenbrück bis zur Wesermündung,"Hochwasserinformation zur Abflusslage der Aller von Brenneckenbrück bis zur Wesermündung: Es liegt eine Warninformation vom 30.11.2023 08:55 Uhr vor, die auf www.pegelonline.nlwkn.niedersachsen.de zu finden ist.",Flood,2023-11-30 07:58:01,
3,lhp.LHP.BW.bw_28_0_2023-12-01T04-00-00-01-00,Immediate,Rhein: Mannheim bis Worms,"Am Oberrhein von Mannheim bis Worms besteht gemäß Modellberechnung eine mäßige Hochwassergefährdung.: Mögliche Auswirkungen:<br/>- stellenweise kleinere Ausuferungen<br/>- erhöhte Strömung im Uferbereich<br/><br/>Informieren Sie sich weiter regelmäßig über die aktuelle Entwicklung der Niederschläge, Wasserstände und der Hochwasser-Lage: www.hvz.baden-wuerttemberg.de. Informationen zum richtigen Verhalten bei Hochwasser finden Sie unter www.hochwasser.baden-wuerttemberg.de/buergerinnen-und-buerger",Flood,2023-12-01 04:29:00,
4,lhp.LHP.BW.bw_29_0_2023-12-01T04-00-00-01-00,Immediate,Rhein: Kehl/Straßburg bis Iffezheim,"Am Oberrhein von Kehl/Straßburg bis Iffezheim besteht gemäß Modellberechnung eine mäßige Hochwassergefährdung.: Mögliche Auswirkungen:<br/>- stellenweise kleinere Ausuferungen<br/>- erhöhte Strömung im Uferbereich<br/><br/>Informieren Sie sich weiter regelmäßig über die aktuelle Entwicklung der Niederschläge, Wasserstände und der Hochwasser-Lage: www.hvz.baden-wuerttemberg.de. Informationen zum richtigen Verhalten bei Hochwasser finden Sie unter www.hochwasser.baden-wuerttemberg.de/buergerinnen-und-buerger",Flood,2023-12-01 04:29:00,
5,lhp.LHP.BW.bw_43_0_2023-12-01T04-00-00-01-00,Immediate,Rhein: Neuburgweier bis Mannheim,"Am Oberrhein von Neuburgweier bis Mannheim besteht gemäß Modellberechnung eine mäßige Hochwassergefährdung.: Mögliche Auswirkungen:<br/>- stellenweise kleinere Ausuferungen<br/>- erhöhte Strömung im Uferbereich<br/><br/>Informieren Sie sich weiter regelmäßig über die aktuelle Entwicklung der Niederschläge, Wasserstände und der Hochwasser-Lage: www.hvz.baden-wuerttemberg.de. Informationen zum richtigen Verhalten bei Hochwasser finden Sie unter www.hochwasser.baden-wuerttemberg.de/buergerinnen-und-buerger",Flood,2023-12-01 04:29:01,
6,lhp.LHP.BW.bw_44_0_2023-12-01T04-00-00-01-00,Immediate,Rhein: Iffezheim bis Neuburgweier,"Am Oberrhein von Iffezheim bis Neuburgweier besteht gemäß Modellberechnung eine mäßige Hochwassergefährdung.: Mögliche Auswirkungen:<br/>- stellenweise kleinere Ausuferungen<br/>- erhöhte Strömung im Uferbereich<br/><br/>Informieren Sie sich weiter regelmäßig über die aktuelle Entwicklung der Niederschläge, Wasserstände und der Hochwasser-Lage: www.hvz.baden-wuerttemberg.de. Informationen zum richtigen Verhalten bei Hochwasser finden Sie unter www.hochwasser.baden-wuerttemberg.de/buergerinnen-und-buerger",Flood,2023-12-01 04:29:01,
7,lhp.LHP.RP.rp_44_0_2023-12-01T04-00-00-01-00,Immediate,Rhein: Neuburgweier bis Mannheim,"Am Oberrhein von Neuburgweier bis Mannheim besteht gemäß Modellberechnung eine mäßige Hochwassergefährdung.: Mögliche Auswirkungen:<br/>- stellenweise kleinere Ausuferungen<br/>- erhöhte Strömung im Uferbereich<br/><br/>Informieren Sie sich weiter regelmäßig über die aktuelle Entwicklung der Niederschläge, Wasserstände und der Hochwasser-Lage: www.hvz.baden-wuerttemberg.de. Informationen zum richtigen Verhalten bei Hochwasser finden Sie unter www.hochwasser.baden-wuerttemberg.de/buergerinnen-und-buerger",Flood,2023-12-01 04:29:01,
8,lhp.LHP.RP.rp_45_0_2023-12-01T04-00-00-01-00,Immediate,Rhein: Mannheim bis Worms,"Am Oberrhein von Mannheim bis Worms besteht gemäß Modellberechnung eine mäßige Hochwassergefährdung.: Mögliche Auswirkungen:<br/>- stellenweise kleinere Ausuferungen<br/>- erhöhte Strömung im Uferbereich<br/><br/>Informieren Sie sich weiter regelmäßig über die aktuelle Entwicklung der Niederschläge, Wasserstände und der Hochwasser-Lage: www.hvz.baden-wuerttemberg.de. Informationen zum richtigen Verhalten bei Hochwasser finden Sie unter www.hochwasser.baden-wuerttemberg.de/buergerinnen-und-buerger",Flood,2023-12-01 04:29:02,
9,lhp.LHP.HE.849,Future,Rhein: Worms bis Nahemündung,"Amtliche HOCHWASSERINFO für den Rhein: Ein Tief über Oberitalien hat im südlichen Rhein-Einzugsgebiet starke Regen- und Schneefälle verursacht, wodurch der Wasserstand im Oberrhein seit dem gestrigen Freitag deutlich ansteigt.<br/><br/>Am Pegel Maxau wurde am Samstagfrüh die Meldehöhe von 700 cm überschritten. Hier ist bis Samstagabend mit weiter ansteigenden Wasserständen und einem Höchststand bei 740 cm zu rechnen. Ab der Nacht auf Sonntag fallen die Wasserstände am Pegel Maxau wieder bis mindestens Montag.<br/><br/>Unterhalb von Maxau werden keine Meldehöhen überschritten. Die Höchststände werden in Worms in der Nacht auf Montag bei 440 cm und in Mainz am Montag im Bereich von 450 cm erwartet. Die aktuellen Vorhersagen zeigen hier bis Mitte kommender Woche keinen Wiederanstieg.",Flood,2023-12-02 10:25:01,
10,lhp.LHP.RP.846,Future,Rhein: Worms bis Nahemündung,"Amtliche HOCHWASSERINFO für den Rhein: Ein Tief über Oberitalien hat im südlichen Rhein-Einzugsgebiet starke Regen- und Schneefälle verursacht, wodurch der Wasserstand im Oberrhein seit dem gestrigen Freitag deutlich ansteigt.<br/><br/>Am Pegel Maxau wurde am Samstagfrüh die Meldehöhe von 700 cm überschritten. Hier ist bis Samstagabend mit weiter ansteigenden Wasserständen und einem Höchststand bei 740 cm zu rechnen. Ab der Nacht auf Sonntag fallen die Wasserstände am Pegel Maxau wieder bis mindestens Montag.<br/><br/>Unterhalb von Maxau werden keine Meldehöhen überschritten. Die Höchststände werden in Worms in der Nacht auf Montag bei 440 cm und in Mainz am Montag im Bereich von 450 cm erwartet. Die aktuellen Vorhersagen zeigen hier bis Mitte kommender Woche keinen Wiederanstieg.",Flood,2023-12-02 10:25:01,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Stadt Hornberg,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Gemeinde Hinterzarten,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Gemeinde Lenzkirch,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Stadt Löffingen,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Gemeinde Kirchzarten,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Gemeinde Buchenbach,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Gemeinde Breitnau,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Gemeinde Simonswald,Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
0,dwdmap.2.49.0.0.276.0.DWD.PVW.1701603540000.91c4a061-805e-4c15-acc6-905e1087921b.MUL,Immediate,Gemeinde Feldberg (Schwarzwald),Amtliche WARNUNG vor STRENGEM FROST: Es tritt strenger Frost zwischen -10 °C und -15 °C auf. Vor allem bei Aufklaren über Schnee sinken die Temperaturen auf Werte bis -19 °C.,STRENGER FROST,2023-12-03 11:39:00,
